airline_id,attribute_name,rating
0,Legroom,2.5
0,Seat comfort,2.5
0,"In-flight entertainment (WiFi, TV, movies)",1.5
0,Onboard Experience,2.5
0,Customer service,2.5
0,Value for money,2.5
0,Cleanliness,3.0
0,Check-in and boarding,2.5
1,Legroom,3.5
1,Seat comfort,3.5
1,"In-flight entertainment (WiFi, TV, movies)",3.0
1,Onboard Experience,3.5
1,Customer service,3.5
1,Value for money,4.0
1,Cleanliness,4.0
1,Check-in and boarding,4.0
2,Legroom,3.0
2,Seat comfort,3.0
2,"In-flight entertainment (WiFi, TV, movies)",2.0
2,Onboard Experience,3.0
2,Customer service,2.5
2,Value for money,3.0
2,Cleanliness,3.0
2,Check-in and boarding,3.0
